SupplierID,DemanderID,SupplyAmount
0,53,1697851
1,59,129885
2,81,159173
3,40,2716562
4,59,2609493
4,85,925730
4,73,539621
5,66,2681959
5,26,1800369
6,64,128194
6,86,307894
6,48,99913
6,57,103523
6,58,58689
6,37,497268
6,87,156740
6,61,1853323
7,45,127452
7,26,186393
7,88,114353
7,37,0
7,29,201931
7,62,306182
7,39,119569
7,58,0
7,86,0
7,48,0
7,66,0
7,27,201617
7,79,523117
7,35,1557094
7,87,0
7,34,584329
8,56,337602
8,32,97373
8,92,181254
8,54,140216
8,44,312681
8,28,1250098
8,63,56891
8,61,231397
8,91,535674
8,47,101254
8,90,246929
8,43,88833
8,57,0
8,71,494642
9,79,0
9,66,0
9,26,0
9,29,0
9,35,0
9,88,0
9,83,190159
10,73,254677
11,67,1130344
11,75,1586218
12,78,882882
13,66,0
13,34,195252
14,31,747054
15,68,1263201
16,61,0
16,44,0
16,90,0
16,57,0
16,63,0
16,56,0
16,64,0
16,32,0
16,87,0
16,43,0
16,86,0
16,92,0
16,54,0
16,28,0
16,48,0
16,47,0
16,58,0
16,37,0
16,39,0
16,91,0
16,88,0
16,45,0
16,27,0
16,29,0
16,62,0
16,26,0
16,71,178783
17,77,169785
18,53,1127373
19,53,263167
20,35,0
20,40,4386425
20,83,1760623
20,29,0
20,70,644626
20,88,0
20,79,0
20,27,0
20,26,0
20,37,0
20,66,0
20,45,0
20,42,823177
20,48,0
20,86,0
20,62,0
20,89,3523056
21,31,848925
22,73,1018711
23,56,0
23,54,0
23,92,0
23,32,0
23,28,0
23,44,0
23,91,0
23,63,0
23,61,0
23,47,0
23,90,0
23,71,212231
24,78,4290042
24,53,7326449
24,49,180698
24,73,1031778
25,53,0
25,76,43295
